Probe_ID	GENESYMBOL	FoldChange
1438091_a_at	H2afz	3.43
1420908_at	Cd2ap	2.83
1448227_at	Grb7	3.38
1424118_a_at	Spc25	3.83
1424096_at	Krt5	7.07
1436870_s_at	Afap1l2	4.37
1418924_at	Rassf7	3.54
1426235_a_at	Glul	5.62
1416606_s_at	Nhp2	3.90
1453063_at	Cltb	3.48
1449133_at	Sprr1a	16.95
1422672_at	Sprr1b	9.09
1434815_a_at	Mapkapk3	6.95
1421943_at	Tgfa	3.24
1438452_at	Nebl	4.19
1451335_at	Plac8	3.71
1424976_at	Rhov	5.25
1448354_at	G6pdx	3.95
1427477_at	Tmprss13	3.28
1453239_a_at	Ankrd22	3.20
1434227_at	Krtdap	9.17
1455435_s_at	Chdh	3.81
1436756_x_at	Hadh	3.25
1435076_at	Fam57a	4.76
1419549_at	Arg1	11.37
1424318_at	Lgalsl	5.45
1452385_at	Usp53	3.69
1424306_at	Elovl4	4.26
1436853_a_at	Snca	4.10
1427492_at	Pof1b	13.12
1419491_at	Defb1	6.48
1434046_at	Aa467197	6.54
1448871_at	Mapk13	3.92
1453503_at	Spink12	4.59
1437542_at	Ikzf2	3.49
1439528_at	4833423e24rik	3.18
1456001_at	Lce3a	6.25
1428834_at	Dusp4	6.03
1433579_at	Tmem30b	3.36
1417541_at	Hells	5.95
1422783_a_at	Krt6a	9.90
1455029_at	Kif21a	3.14
1417450_a_at	Tacc3	4.41
1450350_a_at	Jdp2	4.59
1418076_at	St14	2.35
1439153_at	Rnf144b	4.06
1416529_at	Emp1	5.41
1419569_a_at	Isg20	4.10
1420364_at	Gpr87	6.94
1439695_a_at	Kif20b	3.45
1422293_a_at	Kctd1	4.69
1453092_at	Crct1	6.47
1434437_x_at	Rrm2	5.65
1451064_a_at	Loc100047252	6.01
1419555_at	Elf5	4.72
1432016_a_at	Idh3a	3.35
1424030_at	Grhl1	6.27
1451191_at	Crabp2	6.92
1436932_at	Grhl3	7.25
1424171_a_at	Hagh	3.69
1429285_at	Serpina9	3.95
1438115_a_at	Slc9a3r1	4.20
1417700_at	Rab38	3.49
1417346_at	Pycard	7.73
1438018_at	Hook1	4.37
1426302_at	Tmprss4	3.65
1428781_at	Dmkn	13.81
1425073_at	Plekhg6	2.78
1439560_x_at	Gm5480	4.71
1450850_at	Ezr	7.01
1426268_at	Cwh43	4.00
